10,3255,Kris,Mort,mort@cpts122.edu,4,CS,Senior,1,2022/11/8
9,1222,Bruce,Willis,brucewillis@cpts122.edu,AU,CS,Sophomore,0
8,1122,Jane,Smith,jane@cpts122.edu,4,CS,Sophomore,1,2022/11/8
7,7759,Theo,Sam,samt@cpts122.edu,4,EE,Sophomore,1,2022/11/8
6,5530,Ella,Payton,epayton@cpts122.edu,4,CPTE,Graduate,1,2022/11/8
5,2121,Hannah,James,jameshannah@cpts122.edu,4,CS,Freshman,1,2022/11/8
4,4478,Bruce,Art,bart@cpts122.edu,AU,CPTE,Freshman,1,2022/11/8
3,1121,Timothy,Leinart,tim@cpts122.edu,4,EE,Junior,1,2022/11/8
2,8147,Sara,Beck,sara@cpts122.edu,4,EE,Junior,1,2022/11/8
1,1111,John,Smith,smithj@cpts122.edu,4,CS,Freshman,1,2022/11/8
